route,id,name,address,lat,lng,type,desc,task,imageUrl,taskType,quiz_question,quiz_options,quiz_answer,verification_code
natural_culture,zhongxing_new_village,中興新村,南投縣南投市新市鎮,23.955233,120.687356,"商店,手作,導覽館","中興新村曾為台灣省政府所在地，參考英國新市鎮模式設計，擁有豐富的自然景觀和歷史建築，如巴洛克風格的中興會堂、多條綠色隧道及由舊宿舍改造的文創聚落。","為什麼中興新村會有那麼多筆直、整齊的道路",待補充,quiz,為什麼中興新村會有那麼多筆直、整齊的道路,"模仿歐洲城市風格|方便軍隊快速移動|依照「棋盤式都市規劃」設計的，方便省政府時期的行政機關分布，也讓交通和排水更有秩序。","依照「棋盤式都市規劃」設計的，方便省政府時期的行政機關分布，也讓交通和排水更有秩序。",
natural_culture,jiuzu_cultural_village,九族文化村,南投縣魚池鄉大林村金天巷45號,23.86806,120.94778,"文化,遊玩","台灣原住民文化為主題，全面展現台灣原住民族的建築、影像、美食、音樂、服飾與生活。","九族文化村裡介紹的原住民文化是哪九族?",https://www.nine.com.tw/images/story/story01.jpg,quiz,"九族文化村裡介紹的原住民文化是哪九族?","泰雅、布農、賽夏、鄒、魯凱、排灣、卑南、阿美、和雅美（達悟）族|邵族、噶瑪蘭族、撒奇萊雅族、賽德克族、拉阿魯哇族、卡那卡那富族、平埔族、凱達格蘭族、道卡斯族|排灣、魯凱、卑南、阿美、雅美、邵族、鄒族、泰雅、太魯閣族","泰雅、布農、賽夏、鄒、魯凱、排灣、卑南、阿美、和雅美（達悟）族",
indigenous_culture,jiuzu_cultural_village,九族文化村,南投縣魚池鄉金天巷45號,23.86806,120.94778,遊玩,"台灣原住民文化為主題，全面展現台灣原住民族的建築、影像、美食、音樂、服飾與生活。","九族文化村早期只展示九個原住民族，但目前台灣官方認定共有幾個原住民族？",https://www.nine.com.tw/images/story/story01.jpg,quiz,"九族文化村早期只展示九個原住民族，但目前台灣官方認定共有幾個原住民族？","9族|12族|16族",16族,
natural_culture,cien_pagoda,慈恩塔,南投縣魚池鄉環潭公路,23.841972,120.920806,"文化,生態景觀","由蔣介石為紀念母親王太夫人而建，位於海拔954公尺的山上，塔高46公尺，塔頂正好為海拔1000公尺。登塔可360度俯瞰日月潭全景。","慈恩塔是為了紀念誰而建",待補充,quiz,"慈恩塔是為了紀念誰而建","蔣介石的妻子宋美齡|王太夫人|孫中山的母親楊氏",王太夫人,
natural_culture,sun_moon_lake,日月潭,南投縣魚池鄉,23.867,120.917,生態景觀,"台灣最著名的風景區之一，以湖光山色、原住民文化和豐富的自然生態聞名。可以搭船遊湖、騎自行車環湖，或搭乘纜車從空中欣賞美景。","日月潭的命名由來？",待補充,quiz,"日月潭的命名由來？","湖水東邊清澈如鏡，西邊混濁如泥|東面像太陽，西面像月亮|紀念一位名為「日月」的邵族英雄","東面像太陽，西面像月亮",
natural_culture,wang_yingxin_museum,王英信美術館,南投縣草屯鎮雙冬里中正路25號,23.988536,120.807058,"導覽館,生態景觀","由雕塑家王英信親手設計，參考日本箱根雕刻之森美術館，將上百件大型雕塑作品展示於戶外，讓藝術與自然融為一體。","美術館是誰親自設計建造的?",待補充,quiz,"美術館是誰親自設計建造的?","王英信|安藤忠雄|貝聿銘",王英信,
natural_culture,sunlinksea,杉林溪森林生態渡假園區,南投縣竹山鎮溪山路6號,23.639722,120.792222,生態景觀,"海拔約1600公尺，氣候涼爽，是知名避暑勝地。園區內有松瀧岩瀑布、青龍瀑布、天地眼等自然景觀，以及四季更迭的花卉。","杉林溪海拔大約多少？",待補充,quiz,"杉林溪海拔大約多少？","800公尺|1600公尺|2500公尺",1600公尺,
natural_culture,phoenix_valley_bird_park,鳳凰谷鳥園,南投縣鹿谷鄉仁義路1-9號,23.728611,120.791944,"導覽館,生態景觀,遊玩","飼養了來自世界各地及台灣本土的珍稀鳥類約300種。園區內有巨大的天羅地網鳥籠，遊客可進入其中觀察鳥類生態。","為什麼孔雀會開屏？",待補充,quiz,"為什麼孔雀會開屏？","天氣太熱，為了散熱|吸引配偶、嚇阻敵人|準備飛行前的暖身動作","吸引配偶、嚇阻敵人",
natural_culture,wuling,武嶺,南投縣仁愛鄉台14甲線31.5公里,24.136889,121.276111,生態景觀,"台灣公路的最高點，海拔3275公尺。設有觀景台，可遠眺奇萊山群與合歡山坡的箭竹草原，是觀日出、雲海、星空及冬季雪景的熱門地點。","武嶺是台灣公路的最高點，大約位於多少公尺？",待補充,quiz,"武嶺是台灣公路的最高點，大約位於多少公尺？","2,855 公尺|3,275 公尺|3,886 公尺","3,275 公尺",
natural_culture,qingjing_farm,清境農場,南投縣仁愛鄉大同村仁和路170號,24.058611,121.163889,"生態景觀,遊玩","海拔約1750公尺的高山農場，以其廣闊的草原、悠閒的羊群和壯麗的山景聞名。著名的「綿羊秀」和「馬術秀」是必看表演。","農場內最多的動物是什麼",待補充,quiz,"農場內最多的動物是什麼","牛|馬|羊",羊,
natural_culture,wujie_tribe,武界部落,南投縣仁愛鄉法治村,23.916694,121.046139,文化,"有「雲的故鄉」美名，是布農族卓社群的所在地。此地以武界壩的湖光山色、壯觀的雲海和一線天峽谷聞名，是結合自然美景與人文深度的秘境。","武界部落的武界是哪一族語言",https://upload.wikimedia.org/wikipedia/commons/1/14/Wujie_Overlook.jpg,quiz,"武界部落的武界是哪一族語言","泰雅族語|賽德克族語|布農族(Buqaiz)","布農族(Buqaiz)",
handicraft_culture,wujie_tribe,武界部落,待補充,23.915792484586145,121.04424996441752,待補充,"有「雲的故鄉」美名，是布農族卓社群的所在地。此地以武界壩的湖光山色、壯觀的雲海和一線天峽谷聞名，是結合自然美景與人文深度的秘境。","在地消費: 購買石板烤肉的任務，能直接促進當地觀光消費，讓遊戲為部落帶來實質的經濟效益。",https://upload.wikimedia.org/wikipedia/commons/1/14/Wujie_Overlook.jpg,verification,,,,CLOUDS
farm_food_sustainability,fongnian_mushroom_farm,豐年靈芝菇類生態農場,南投縣埔里鎮東潤路58號,23.943444,120.986333,"手作,文化,導覽館","擁有超過50年歷史，是台灣規模數一數二的食用菌種供應商。提供採菇體驗、多元DIY手作課程及免費生態導覽，適合親子共遊。","待補充",待補充,photo,,,
farm_food_sustainability,rose_garden,玫開四度食用玫瑰園,南投縣埔里鎮內埔路2-2號,23.940833,120.959667,"導覽館,文化,手作,體驗","台灣第一座採用自然農法栽培食用玫瑰的農場，不使用農藥和化學肥料。這裡是世界麵包冠軍吳寶春「荔枝玫瑰麵包」的玫瑰食材來源。","待補充",待補充,photo,,,
farm_food_sustainability,uncle_herb,香草大叔與男孩,南投縣埔里鎮中山路一段241-2號,23.943444,120.986333,"手作,導覽館,文化,體驗","由郭昱宏（阿宏老師）創立的農業體驗品牌，致力於推廣香草植物與友善環境的自然生活方式。提供香草辨識、種植、料理等體驗課程。","待補充",待補充,photo,,,
farm_food_sustainability,jiaobai_farm,最佳主茭腳白筍體驗農場,南投縣埔里鎮珠生路49號,23.940833,120.959667,"導覽館,遊玩","採友善無毒農耕法，並利用「筍魚共生」維持生態平衡。遊客可穿上青蛙裝下田親手採收茭白筍，並品嚐最新鮮的滋味。","筊白筍的最佳採收季節是什麼時候?",待補充,quiz,"筊白筍的最佳採收季節是什麼時候?","春季(約3~5月)|夏季(約6~8月)|秋季(約9~11月)","春季(約3~5月)",
farm_food_sustainability,guli_cooperative,穀笠合作社,南投縣埔里鎮籃城五巷6-1號,23.952833,120.9795,"導覽館,商店,體驗","由一群關心農業的年輕人創立，致力於實踐友善耕作，並串連在地小農。提供農村社區導覽、農事體驗及食農教育等深度旅遊。","穀笠合作社販售的產品最強調什麼特色?",待補充,quiz,"穀笠合作社販售的產品最強調什麼特色?","價格最低廉|進口稀有品種|在地小農生產、友善土地、支持永續農業","在地小農生產、友善土地、支持永續農業",
farm_food_sustainability,passion_fruit_farm,大坪頂百香果園,南投縣埔里鎮西安路三段259號,24.037694,120.925194,"導覽館,遊玩,體驗","台灣百香果的最大產地，產量佔全台九成以上。提供採果體驗、食農教育導覽，並可品嚐百香果相關產品。","埔里是台灣百香果重要產地，請問「埔里百香果」最大的特色是什麼?",待補充,quiz,"埔里是台灣百香果重要產地，請問「埔里百香果」最大的特色是什麼?","外皮金黃、果肉酸澀|外皮紫紅、果肉香甜|果實巨大、水分稀少","外皮紫紅、果肉香甜",
farm_food_sustainability,qixuan_farm,圻宣農場,南投縣埔里鎮枇杷里九成街58號,23.950556,120.981389,"體驗,商店","以獨特的紅土地質和有機農法聞名，主要種植台農二號木瓜。未來規劃開放採果體驗，讓消費者更深入了解食物的來源。","百香果有什麼營養價值?",待補充,quiz,"百香果有什麼營養價值?","蛋白質、脂肪|維他命C、膳食纖維|鈣、鐵","維他命C、膳食纖維",
farm_food_sustainability,guobao_farm,果寶歡酵有機樹葡萄農場,南投縣埔里鎮珠格里下湳巷15號,23.948944,120.984667,"體驗,手作","亞洲面積最大的網室有機嘉寶果（樹葡萄）農場，佔地達12公頃。提供季節限定的採果樂、多元手作DIY課程及酵素主題的觀光工廠導覽。","待補充",待補充,photo,,,
